user_id,name,email,password,status,role,token,s_id,s_name,s_email,s_mobile,s_photo,s_gender,s_category,s_edu_qua,s_parent_name,s_parent_mobile,s_parent_occupation,c_id,c_name,c_fees,c_duration,ad_id,ad_fees_status,f_id,amount_paid,payment_date,payment_method,inq_id,inq_query,f_message,department_id,department_name,head_of_department,faculty_id,faculty_name,faculty_email,faculty_phone,document_id,document_type,upload_date,file_path,scholarship_id,scholarship_name,eligibility_criteria,scholarship_amount,award_id,awarded_date,application_id,company_name,application_date,placement_status,allocation_id,job_position,salary_package,joining_date,Volunteer_Experience,Internship_Experience,Online_Certifications_Count,Sports_Achievements,High_School_Percentage,Higher_Secondary_Percentage,Entrance_Exam_Score,Previous_GPA,Number_of_Backlogs,Hackathon_Participation,Online_Courses_Completed,Number_of_Backlogs,Dropout_Risk,Final_Admission_Status,Scholarship_Granted
1,Tyler Silva,franklinrobert@yahoo.com,)%z40SInO+,1,2,4cc34e71-f673-4357-bf46-553bd9b24dae,1,Rebecca Estrada,grossgabriel@gmail.com,+1-843-137-6375x990,https://dummyimage.com/521x328,0,SC,High School,Cory Yang,567-557-0375,Doctor,1,Electronics,5000000,2 Years,1,0,1,10000000,2025-01-05,UPI,1,Memory wide ever until early main election.,Meeting firm line shake.,1,Commerce,Brian Blackwell,1,Brooke Norris,andreasmith@gmail.com,+1-505-003-8526x8690,1,Other,2025-02-11,/herself/reflect.js,1,Need-Based,Such attorney amount.,500000,1,2025-01-15,1,Hall-Robbins,2025-01-14,2,1,Intern,100 LPA,2025-01-09,Yes,No,5,No,94.22,90.8,132.36,2.47,4,Yes,4,4,Low,Accepted,Yes
2,Lisa Davis,millerpamela@hansen-hill.com,99&1L(%k*v,1,1,1c7fb0fd-896b-4303-89ce-86b01f63f181,2,Rachel Brooks,natashasmith@yahoo.com,970-330-4612,https://dummyimage.com/642x517,2,General,Master's,Anthony Thornton,+1-961-512-3704x0380,Doctor,2,Electronics,5000000,4 Years,2,1,2,10000000,2025-02-13,Net Banking,2,Develop put those set appear.,Responsibility report risk impact indeed most.,2,Arts,Jason Page,2,Bruce Joyce,rothkelly@mason.info,580-503-9584,2,Resume,2025-01-02,/water/mouth.webm,2,Merit Scholarship,Compare all break which including respond officer.,500000,2,2025-01-24,2,"Esparza, Hensley and Delgado",2025-01-17,0,2,Software Engineer,100 LPA,2025-02-08,Yes,Yes,,Yes,50.64,89.21,87.67,2.61,5,No,5,5,Low,Rejected,Yes
3,Roberto Brandt,andrewthompson@hotmail.com,a5KEsH7G^6,1,1,b4abd549-33df-49ca-9fc4-f7236824042c,3,Julia Barr,lgiles@floyd-davis.net,066-143-2114,https://placeimg.com/495/146/any,1,SC,Master's,Erin Harrington,(500)382-1185,Teacher,3,Mechanical,180342,2 Years,3,0,3,10000000,2025-02-03,Net Banking,3,Purpose talk question drive increase several.,Fall meet later car determine must of.,3,Commerce,Melissa Silva,3,Jessica Anderson,gilberthaley@yahoo.com,3850997558,3,Resume,2025-02-12,/time/approach.webm,3,Need-Based,Exist instead worker.,42852,3,2025-01-09,3,Castaneda LLC,2025-01-04,2,3,Software Engineer,100 LPA,2025-02-12,No,Yes,1,No,70.45,62.32,174.53,2.69,5,No,17,5,High,Waitlisted,Yes
4,Nathaniel Weeks,mjefferson@salinas.info,#!iGaLs9p1,0,2,893460f5-49cb-4c23-8349-8ebad5616490,4,Tracy Cisneros,tsmith@gmail.com,001-661-908-7774,https://dummyimage.com/751x408,1,ST,High School,Timothy Riley,(721)649-7574x2688,Doctor,4,Computer Science,5000000,4 Years,4,1,4,185426,2025-01-29,Debit Card,4,Republican whatever west consumer ahead set.,Voice church chair democratic wait physical idea seek.,4,Arts,Marco Frost,4,Bradley Kelley,katie38@yahoo.com,(240)826-4203x5731,4,ID Proof,2025-02-06,/senior/law.odp,4,Sports Quota,Laugh effect sport daughter school buy.,18144,4,2025-01-06,4,Ortiz LLC,2025-01-25,2,4,Intern,6 LPA,2025-01-08,No,No,5,Yes,86.44,51.58,28.4,3.76,2,No,8,2,High,Accepted,Yes
5,Ryan Mcgee,westjennifer@gmail.com,r(6UVFRQ8u,0,0,7d7b5230-7e6f-4154-8ba2-87e9b5d8354a,5,Erika Gibson,todddavis@gmail.com,238-044-4142x812,https://dummyimage.com/58x995,0,General,Bachelor's,Gary Moses,2361597728,Business,5,Mechanical,5000000,4 Years,5,1,5,82178,2025-01-27,Credit Card,5,Company what fact author really.,Law evening enter different cut eye.,5,Arts,Bryan Ruiz,5,Jordan Bullock,jonathan64@hotmail.com,376-465-2412,5,Resume,2025-02-01,/top/authority.avi,5,Merit Scholarship,Clearly business public unit.,37457,5,2025-01-23,5,"Smith, Martinez and Bradshaw",2025-01-01,1,5,Manager,100 LPA,2025-01-06,No,Yes,,Yes,68.68,76.55,97.62,2.87,3,Yes,7,3,High,Rejected,Yes
6,Andrew Johnson,beckermanuel@yahoo.com,94^T0Gvx(A,0,1,9625baec-fe98-44c1-ad70-9b982abc1b6a,6,Joshua Zavala,onorman@singleton.com,9338540378,https://placekitten.com/763/826,0,SC,PhD,Jennifer King,(247)030-4534,Teacher,6,Biotech,5000000,3 Years,6,1,6,154419,2025-02-12,Credit Card,6,Concern against however.,Unit our free Democrat partner dream.,6,Commerce,Patrick Dixon,6,Paul Romero,cooleyjodi@shaw.org,675.409.3710x846,6,Resume,2025-01-17,/modern/trial.wav,6,Merit Scholarship,Likely site bag test decide.,500000,6,2025-01-11,6,"Carson, Garcia and Bryan",2025-01-19,0,6,Software Engineer,8 LPA,2025-01-03,Yes,No,4,Yes,95.45,50.14,27.46,2.58,1,No,12,1,Medium,Accepted,Yes
7,David Mullins,craigberry@hotmail.com,%fH*R0IoC5,0,1,8b5d636b-79b3-46ee-bffb-f888b622794d,7,Heather Morgan,hayeskaitlyn@gmail.com,(816)293-5589,https://www.lorempixel.com/958/84,0,General,High School,Eric Barnett,704-760-8353x19145,Doctor,7,Mechanical,183660,4 Years,7,0,7,159168,2025-01-26,Credit Card,7,Ever high ready food eat fund.,Arrive action them wish.,7,Science,Raven Larsen,7,Meghan Collins,mmurray@guerra.net,6068638917,7,Other,2025-01-24,/common/manage.ppt,7,Need-Based,Receive event despite church step.,28896,7,2025-01-30,7,Johnson-Neal,2025-01-15,0,7,Software Engineer,9 LPA,2025-01-15,Yes,Yes,0,No,59.83,76.37,124.67,2.63,5,Yes,19,5,Low,Waitlisted,Yes
8,Valerie Gonzalez,petersmegan@yahoo.com,nA2SLQ_rk*,1,2,6fcbe767-e88e-4d45-865d-b4e6668d2da2,8,Christopher Lambert,reynoldswendy@gmail.com,+1-616-994-8282x64554,https://placeimg.com/234/727/any,0,General,PhD,Steven Garza,(673)064-2203x84263,Other,8,Biotech,5000000,2 Years,8,1,8,10000000,2025-01-22,Net Banking,8,Apply board well world.,Skill rock mean long director where my research.,8,Engineering,Kelly Hernandez,8,Mark Rodriguez,scottkeith@gill-gregory.com,001-971-401-4862x18623,8,Resume,2025-01-30,/any/give.css,8,Need-Based,Interview house item bed.,500000,8,2025-02-02,8,"Williams, Turner and Atkins",2025-01-06,0,8,Manager,3 LPA,2025-01-24,Yes,Yes,7,No,91.54,75.41,44.8,3.89,4,Yes,11,4,Medium,Accepted,Yes
9,Patrick Freeman,paul82@hotmail.com,G$T01tOcnR,1,2,5400f1e1-f9bd-4601-906a-6ffe8c576c00,9,Alexandra Farrell,rachel34@adams.info,117-456-6214x29718,https://dummyimage.com/578x993,2,General,PhD,Monica Howard,(511)818-4871,Doctor,9,Civil,186598,3 Years,9,0,9,144413,2025-01-03,UPI,9,Brother second think much itself turn.,Serious dinner best resource.,9,Science,Brandi Booker,9,Samantha Kline,stephanie86@gmail.com,344-007-2373x0361,9,Transcript,2025-01-02,/sometimes/end.json,9,Sports Quota,Ground program win good national.,500000,9,2025-02-03,9,Roy-Aguilar,2025-01-28,1,9,Software Engineer,7 LPA,2025-01-02,Yes,No,8,No,92.32,52.4,60.54,2.22,1,No,9,1,Medium,Accepted,Yes
10,Patrick Sexton,kelsey84@yahoo.com,8Gd3+Kqs8#,0,0,1b74908c-1dd5-4dec-92a4-4437ca1271fc,10,Wesley Miller,sethadams@hotmail.com,948.500.1800x319,https://placeimg.com/1/623/any,0,OBC,PhD,Lori Jackson,(787)296-0205x6433,Doctor,10,Computer Science,5000000,2 Years,10,0,10,37263,2025-01-03,Debit Card,10,Just community American security once.,Who spend sometimes property.,10,Engineering,Judy Crawford,10,Patrick Murray,william96@hotmail.com,001-117-389-9440x87880,10,ID Proof,2025-02-09,/wrong/measure.css,10,Merit Scholarship,Ten bar receive thus office join something hit.,10225,10,2025-01-13,10,Perkins-Bailey,2025-01-29,1,10,Software Engineer,9 LPA,2025-01-23,No,Yes,7,No,96.77,51.18,47.81,3.78,2,Yes,0,2,Low,Accepted,Yes
